ANDERSON-SHIRO CISD                       458 FM 149 W
District Type: ISD/CSD                    ANDERSON, TX 77830
District Code: 093901                     Phone: (936) 873-4500
GRIMES COUNTY                             Fax: (936) 873-4515
                                          kgreen@ascisd.net
                                          www.ascisd.net
APPLE SPRINGS ISD                         P O BOX 125
District Type: ISD/CSD                    APPLE SPRINGS, TX 75926-0125
District Code: 228905                     Phone: (936) 831-3344
TRINITY COUNTY                            Fax: (936) 831-2824
                                          cmoree@asisd.com
                                          www.asisd.com
BELLVILLE ISD                             518 S MATHEWS
District Type: ISD/CSD                    BELLVILLE, TX 77418-2711
District Code: 008901                     Phone: (979) 865-3133
AUSTIN COUNTY                             Fax: (979) 865-8591
                                          Hhigginbotham@bellvilleisd.org
                                          www.bellvilleisd.org
BIG SANDY ISD                             P O BOX 188
District Type: ISD/CSD                    DALLARDSVILLE, TX 77332-0188
District Code: 187901                     Phone: (936) 563-1000
POLK COUNTY                               Fax: (936) 563-1010
                                          lkidd@bigsandyisd.net
                                          www.bigsandyisd.net
BRAZOS ISD                                P O BOX 819
District Type: ISD/CSD                    WALLIS, TX 77485-0819
District Code: 008903                     Phone: (979) 478-6551
AUSTIN COUNTY                             Fax: (979) 478-6413
                                          cspeckmaier@brazosisd.net
                                          www.brazosisd.net
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY    410 BETHEL LN
District Type: Open Enroll CSD            BRYAN, TX 77802
District Code: 021803                     Phone: (979) 268-8884
BRAZOS COUNTY                             Fax: (979) 774-5039
                                          kgreenwood@thebrazosschool.org
                                          
BREMOND ISD                               P O BOX 190
District Type: ISD/CSD                    BREMOND, TX 76629-0190
District Code: 198901                     Phone: (254) 746-7145
ROBERTSON COUNTY                          Fax: (254) 746-7726
                                          rbell@bremondisd.net
                                          www.bremondisd.net
BRENHAM ISD                               P O BOX 1147
District Type: ISD/CSD                    BRENHAM, TX 77834-1147
District Code: 239901                     Phone: (979) 277-3700
WASHINGTON COUNTY                         Fax: (979) 277-3701
                                          jonf@brenhamk-12.net
                                          www.brenhamisd.net
BRYAN ISD                                 101 N TEXAS AVE
District Type: ISD/CSD                    BRYAN, TX 77803-5398
District Code: 021902                     Phone: (979) 209-1000
BRAZOS COUNTY                             Fax: (979) 209-1050
                                          thomas.wallis@bryanisd.org
                                          www.bryanisd.org
BUCKHOLTS ISD                             P O BOX 248
District Type: ISD/CSD                    BUCKHOLTS, TX 76518-0248
District Code: 166907                     Phone: (254) 593-2744
MILAM COUNTY                              Fax: (254) 593-2270
                                          dirk.dykstra@buckholtsisd.net
                                          www.buckholtsisd.net
BUFFALO ISD                               708 CEDAR CREEK RD
District Type: ISD/CSD                    BUFFALO, TX 75831-0703
District Code: 145901                     Phone: (903) 322-3765
LEON COUNTY                               Fax: (903) 322-3091
                                          freemanlg@buffaloisd.net
                                          www.buffaloisd.net
BURTON ISD                                P O BOX 37
District Type: ISD/CSD                    BURTON, TX 77835-0037
District Code: 239903                     Phone: (979) 289-3131
WASHINGTON COUNTY                         Fax: (979) 289-3076
                                          jpalmer@burtonisd.net
                                          www.burtonisd.net
CALDWELL ISD                              203 N GRAY ST
District Type: ISD/CSD                    CALDWELL, TX 77836-1549
District Code: 026901                     Phone: (979) 567-9000
BURLESON COUNTY                           Fax: (979) 567-9876
                                          jcummings@caldwellisd.net
                                          www.caldwell.k12.tx.us
CALVERT ISD                               P O BOX 7
District Type: ISD/CSD                    CALVERT, TX 77837-0007
District Code: 198902                     Phone: (979) 364-2824
ROBERTSON COUNTY                          Fax: (979) 364-2468
                                          mmorgan@calvertisd.com
                                          www.calvertisd.com
CAMERON ISD                               BOX 712
District Type: ISD/CSD                    CAMERON, TX 76520-0712
District Code: 166901                     Phone: (254) 697-3512
MILAM COUNTY                              Fax: (254) 697-2448
                                          cclark@cameronisd.net
                                          cameronisd.net
CENTERVILLE ISD                           813 S COMMERCE
District Type: ISD/CSD                    CENTERVILLE, TX 75833-0813
District Code: 145902                     Phone: (903) 536-7812
LEON COUNTY                               Fax: (903) 536-7148
                                          jajeitz@centerville.k12.tx.us
                                          www.centerville.k12.tx.us
CENTERVILLE ISD                           10327 N STATE HWY 94
District Type: ISD/CSD                    GROVETON, TX 75845-2651
District Code: 228904                     Phone: (936) 642-1597
TRINITY COUNTY                            Fax: (936) 642-2810
                                          mford@centervilleisd.net
                                          www.centervilleisd.net
COLDSPRING-OAKHURST CISD                  P O BOX 39
District Type: ISD/CSD                    COLDSPRING, TX 77331-0039
District Code: 204901                     Phone: (936) 653-1115
SAN JACINTO COUNTY                        Fax: (936) 653-2197
                                          celliott@cocisd.org
                                          www.cocisd.org
COLLEGE STATION ISD                       1812 WELSH AVE
District Type: ISD/CSD                    COLLEGE STATION, TX 77840-4851
District Code: 021901                     Phone: (979) 764-5400
BRAZOS COUNTY                             Fax: (979) 764-5492
                                          cglenewinkel@csisd.org
                                          www.csisd.org
CONROE ISD                                3205 W DAVIS
District Type: ISD/CSD                    CONROE, TX 77304
District Code: 170902                     Phone: (936) 709-9719
MONTGOMERY COUNTY                         Fax: (936) 709-9701
                                          dstockton@conroeisd.net
                                          www.conroeisd.net
CORRIGAN-CAMDEN ISD                       504 S HOME ST
District Type: ISD/CSD                    CORRIGAN, TX 75939-2501
District Code: 187904                     Phone: (936) 398-4040
POLK COUNTY                               Fax: (936) 398-4616
                                          tbowman@corrigan-camdenisd.net
                                          www.corrigan-camdenisd.net
CROCKETT ISD                              1400 W AUSTIN ST
District Type: ISD/CSD                    CROCKETT, TX 75835-3145
District Code: 113901                     Phone: (936) 544-2125
HOUSTON COUNTY                            Fax: (936) 544-5727
                                          dmoore@crockettisd.net
                                          www.crockettisd.net/
FRANKLIN ISD                              P O BOX 909
District Type: ISD/CSD                    FRANKLIN, TX 77856-0909
District Code: 198903                     Phone: (979) 828-7000
ROBERTSON COUNTY                          Fax: (979) 828-1910
                                          rpayne@franklinisd.net
                                          www.franklinisd.net
GAUSE ISD                                 P O BOX 38
District Type: ISD/CSD                    GAUSE, TX 77857-0038
District Code: 166902                     Phone: (979) 279-5891
MILAM COUNTY                              Fax: (979) 279-5142
                                          pbell@gauseisd.net
                                          www.gauseisd.net
GOODRICH ISD                              P O BOX 789
District Type: ISD/CSD                    GOODRICH, TX 77335-0789
District Code: 187903                     Phone: (936) 365-1100
POLK COUNTY                               Fax: (936) 365-3518
